,test_id,gene_id
32762,ENSG00000235205.1,ENSG00000235205.1
32763,ENSG00000235207.1,ENSG00000235207.1
32764,ENSG00000235208.2,ENSG00000235208.2
32765,ENSG00000235209.1,ENSG00000235209.1
32766,ENSG00000235211.4,ENSG00000235211.4
32767,ENSG00000235213.1,ENSG00000235213.1
32768,ENSG00000235214.1,ENSG00000235214.1
32769,ENSG00000235215.2,ENSG00000235215.2
32770,ENSG00000235217.6,ENSG00000235217.6
32771,ENSG00000235218.2,ENSG00000235218.2
32772,ENSG00000235219.1,ENSG00000235219.1
32773,ENSG00000235221.2,ENSG00000235221.2
32774,ENSG00000235224.1,ENSG00000235224.1
32775,ENSG00000235225.1,ENSG00000235225.1
32776,ENSG00000235226.1,ENSG00000235226.1
32777,ENSG00000235227.1,ENSG00000235227.1
32778,ENSG00000235232.1,ENSG00000235232.1
32779,ENSG00000235235.6,ENSG00000235235.6
32780,ENSG00000235236.1,ENSG00000235236.1
32781,ENSG00000235237.1,ENSG00000235237.1
32782,ENSG00000235238.1,ENSG00000235238.1
32783,ENSG00000235239.1,ENSG00000235239.1
32784,ENSG00000235240.1,ENSG00000235240.1
32785,ENSG00000235241.1,ENSG00000235241.1
32786,ENSG00000235242.1,ENSG00000235242.1
32787,ENSG00000235243.1,ENSG00000235243.1
32788,ENSG00000235244.3,ENSG00000235244.3
32789,ENSG00000235245.1,ENSG00000235245.1
32790,ENSG00000235246.1,ENSG00000235246.1
32791,ENSG00000235248.3,ENSG00000235248.3
32792,ENSG00000235251.2,ENSG00000235251.2
32793,ENSG00000235253.1,ENSG00000235253.1
32794,ENSG00000235254.3,ENSG00000235254.3
32795,ENSG00000235256.1,ENSG00000235256.1
32796,ENSG00000235257.8,ENSG00000235257.8
32797,ENSG00000235258.1,ENSG00000235258.1
32798,ENSG00000235262.1,ENSG00000235262.1
32799,ENSG00000235263.1,ENSG00000235263.1
32800,ENSG00000235264.1,ENSG00000235264.1
32801,ENSG00000235266.1,ENSG00000235266.1
32802,ENSG00000235267.1,ENSG00000235267.1
32803,ENSG00000235268.2,ENSG00000235268.2
32804,ENSG00000235269.1,ENSG00000235269.1
32805,ENSG00000235271.5,ENSG00000235271.5
32806,ENSG00000235272.2,ENSG00000235272.2
32807,ENSG00000235274.1,ENSG00000235274.1
32808,ENSG00000235275.3,ENSG00000235275.3
32809,ENSG00000235277.1,ENSG00000235277.1
32810,ENSG00000235278.2,ENSG00000235278.2
32811,ENSG00000235279.1,ENSG00000235279.1
32812,ENSG00000235280.2,ENSG00000235280.2
32813,ENSG00000235281.1,ENSG00000235281.1
32814,ENSG00000235282.3,ENSG00000235282.3
32815,ENSG00000235284.1,ENSG00000235284.1
32816,ENSG00000235285.1,ENSG00000235285.1
32817,ENSG00000235286.1,ENSG00000235286.1
32818,ENSG00000235288.3,ENSG00000235288.3
32819,ENSG00000235289.1,ENSG00000235289.1
32820,ENSG00000235290.1,ENSG00000235290.1
32821,ENSG00000235292.1,ENSG00000235292.1
32822,ENSG00000235293.1,ENSG00000235293.1
32823,ENSG00000235294.1,ENSG00000235294.1
32824,ENSG00000235295.1,ENSG00000235295.1
32825,ENSG00000235296.1,ENSG00000235296.1
32826,ENSG00000235297.3,ENSG00000235297.3
32827,ENSG00000235298.1,ENSG00000235298.1
32828,ENSG00000235299.2,ENSG00000235299.2
32829,ENSG00000235300.4,ENSG00000235300.4
32830,ENSG00000235301.1,ENSG00000235301.1
32831,ENSG00000235303.1,ENSG00000235303.1
32832,ENSG00000235304.1,ENSG00000235304.1
32833,ENSG00000235306.2,ENSG00000235306.2
32834,ENSG00000235308.1,ENSG00000235308.1
32835,ENSG00000235310.1,ENSG00000235310.1
32836,ENSG00000235312.1,ENSG00000235312.1
32837,ENSG00000235313.1,ENSG00000235313.1
32838,ENSG00000235314.1,ENSG00000235314.1
32839,ENSG00000235315.2,ENSG00000235315.2
32840,ENSG00000235316.1,ENSG00000235316.1
32841,ENSG00000235318.3,ENSG00000235318.3
32842,ENSG00000235319.1,ENSG00000235319.1
32843,ENSG00000235321.1,ENSG00000235321.1
32844,ENSG00000235323.2,ENSG00000235323.2
32845,ENSG00000235325.1,ENSG00000235325.1
32846,ENSG00000235328.1,ENSG00000235328.1
32847,ENSG00000235329.2,ENSG00000235329.2
32848,ENSG00000235330.2,ENSG00000235330.2
32849,ENSG00000235332.2,ENSG00000235332.2
32850,ENSG00000235333.3,ENSG00000235333.3
32851,ENSG00000235334.1,ENSG00000235334.1
32852,ENSG00000235335.2,ENSG00000235335.2
32853,ENSG00000235337.1,ENSG00000235337.1
32854,ENSG00000235338.1,ENSG00000235338.1
32855,ENSG00000235339.1,ENSG00000235339.1
32856,ENSG00000235343.1,ENSG00000235343.1
32857,ENSG00000235347.1,ENSG00000235347.1
32858,ENSG00000235349.1,ENSG00000235349.1
32859,ENSG00000235350.1,ENSG00000235350.1
32860,ENSG00000235351.1,ENSG00000235351.1
32861,ENSG00000235352.1,ENSG00000235352.1
32862,ENSG00000235354.1,ENSG00000235354.1
32863,ENSG00000235356.2,ENSG00000235356.2
32864,ENSG00000235357.1,ENSG00000235357.1
32865,ENSG00000235358.1,ENSG00000235358.1
32866,ENSG00000235361.1,ENSG00000235361.1
32867,ENSG00000235363.1,ENSG00000235363.1
32868,ENSG00000235366.2,ENSG00000235366.2
